,content,sentiment
1360,end nigh x,1
1361,need sweet drank,1
1362,congratulation nice day,0
1363,sorry looking forward thought fun u hear u beer,1
1364,sunburn bad sitting sun,1
1365,tweet tweet,2
1366,got baby sitting went,2
1367,beautiful morning,0
1368,apparently rose child wild imagination,0
1369,tired summer,1
1370,sho,0
1371,flight midway tonight hotel wo undies,1
1372,tell feel miserable mutual,1
1373,know need hopefully sell finland,1
1374,new found respect know know code,2
1375,little number trying number,1
1376,dragging work fitness class morn need weekend day,1
1377,old customer service team member,2
1378,country refreshing change tarmac car city boy need tarmac,1
1379,thanks,0
1380,good morning,2
1381,talking today oh problem problem problem love money math,0
1382,wish choose band trash june,0
1383,miss arent far,1
1384,,2
1385,sitting connection listening employee reminisce mope shift,1
1386,mean hey thats mean,1
1387,distracted id like thank new follower taking trouble follow love,0
1388,depressed right,1
1389,posted let know think cute cut,0
1390,bird oh man thats cool didnt sleep night,1
1391,thinking look good place support site,0
1392,awake,0
1393,enjoy ur night,0
1394,happy sad soul rest peace,1
1395,need twitter friend far find new,2
1396,glad u feel like cooking tired,1
1397,hanging dan room night,1
1398,doesnt pineapple pie,0
1399,getting excited park tomorrow,0
1400,finished took hour got,3
1401,going jack dinner,0
1402,maybe care,2
1403,interesting combination great,1
1404,wish,1
1405,counting minute home,2
1406,undeniable truth suck talking people good making connection come strange distant,1
1407,chocolate knew heart stomach wait till try truffle,2
1408,sure cant work computer want know,3
1409,hum bill bailey,2
1410,laying bed sore domino dont work today,1
1411,eating,0
1412,whats u ur ur,2
1413,watching supernatural great way end hard day miss,0
1414,love time low,0
1415,awesome family flower love lot fun,0
1416,hey cup cake,2
1417,ending evening best note love forever tweet,0
1418,word,2
1419,taking mum lunch mother day,0
1420,nice mother day mum present wondering ill talking,0
1421,song background donate fund cable think,0
1422,project car,2
1423,right turned curve right angle like better thanks know,2
1424,cup tea cold tasting good,0
1425,record lake song audition,1
1426,want new mountain bike,2
1427,thats cool landed hour love scenery beautiful,0
1428,good episode gear tonight,0
1429,picked stuff time think joke,1
1430,,2
1431,ready home,2
1432,happy mother day twitter,0
1433,summer,0
1434,awesome looking,0
1435,bye bad didnt talk u u,1
1436,break got ding wasnt screen,1
1437,got job degree damn car feel bout car,0
1438,school finally sad ill miss teacher r,1
1439,cant wait till new episode supernatural episode left,0
1440,ate,1
1441,,2
1442,quick thought tired happy satisfied excited oh bit love,0
1443,park,0
1444,hope day message,0
1445,profile,2
1446,answer wath,3
1447,text company,2
1448,munch high calorie thing brain working,1
1449,q dont love,1
1450,going mi tonight ugh jealous aw sucker musical,2
1451,weird dream,1
1452,weekend like end,2
1453,quiz noon,1
1454,red update temp suspected infection antibiotic given tomorrow check temp finger crossed,1
1455,suck,3
1456,closed location,2
1457,work tomorrow idea oh wait fail,1
1458,know block party love hear original chance,2
1459,thanks misty appreciate support thanks comment spend day beach,0
1460,god bless,2
1461,swine flu cause got flu,1
1462,thanks lately like layout,0
1463,sick cough,1
1464,long day office tiring week,1
1465,work appear blocked,1
1466,great week weekend,0
1467,rocking twain marathon,2
1468,happy mother day,0
1469,let hate damn near stalker love send gift,3
1470,h home,0
1471,spit drink rip hair straightener,0
1472,walnut high school,2
1473,whatsoever mean sober,0
1474,thinking opening source dont time work,1
1475,writing wasnt scrub,1
1476,ya different reason,1
1477,drop girl got heart sure leave broke bleeding know shell turn lo,1
1478,gardening stuff ordered got returned sender damage need work garden,1
1479,hi mum wow yes modern need account p talk writing,0
1480,cant,1
1481,anima work pizza pump use,1
1482,love ferry,0
1483,seeing love club actually,0
1484,reminder client check important account update,2
1485,hey old writing avoidance write continuous flow non stop use loosen gremlin,2
1486,guess boner story funny ton boner moment like,2
1487,want wish happy mother day,0
1488,thanks wishing luck couple week ago getting higher choir didnt,1
1489,watching grand day,0
1490,half drive idol,1
1491,thanks sadly streamline sold streamline trunk available size halfway,1
1492,awesome,0
1493,getting ready nervous,1
1494,hey going looking forward weekend sadly sat sun,1
1495,found pack united red carpet club booze voucher wanting drink come,2
1496,driving leave roundabout wake tomorrow arrive proximately ya,0
1497,watching groove movie hubby,0
1498,weekend,1
1499,face ha ha ha ha yeah hong tired tomorrow guess care,0
1500,new pic twitter finally change pic inquisition follow,1
1501,going today sit bedroom share mother cry,1
1502,burning computer getting,2
1503,think castle fun,0
1504,true remember remember date day,0
1505,ah going start love,2
1506,hate reach access limit,2
1507,hi kiwi artist kiwi artist,2
1508,week left summer holiday,2
1509,love love tease baby end tho,0
1510,home petition big bang tour,0
1511,sure boot,0
1512,soon going hour left,2
1513,dislike math math hate,2
1514,th harry potter dish cushion patio sofa fixed outdoor accomplished,0
1515,watching basement set radio site,2
1516,want badly,0
1517,exactly problem pure classical music cant,1
1518,regret going movie audition today like neighbor,1
1519,best luck,0
1520,book lived came,2
1521,forgetting need revise topic exam nice surprise time remember,0
1522,miss,1
1523,man sweep worry,1
1524,sigh getting computer homework bye,1
1525,holiday fair,1
1526,carol proof nonbeliever,0
1527,waiting movie later th month,2
1528,thunder,1
1529,sad didnt final got talent coz deserved,1
1530,chance win given free wait till plant grow know,3
1531,thanks ball great company awesome girl want love ya,0
1532,aw,1
1533,heaven good finger crossed doesnt come sleep easy wishing best,1
1534,beer,0
1535,sadly true,1
1536,watching hill r watch girl aloud days x,0
1537,damn quotable want link,1
1538,woodman closed breaking suspect union bank riverside woodman oak,1
1539,good know,2
1540,work barely contain amazingly good time,1
1541,hi life climb view great,2
1542,dive w ocean deep dive sun colour dynamite fishing toll reef,1
1543,gave inspiration update,0
1544,thanks right,0
1545,early start today rain mile,0
1546,nice,2
1547,sister cry eye hubby spoke n minute sound background,1
1548,know big news,2
1549,,0
1550,,1
1551,day bed watching south park tomorrow cant wait,2
1552,day,1
1553,ur song came,0
1554,bad head ache bed maybe bye bye,1
1555,thanks got tired bleaching um bang yeah actually bit purple,0
1556,work hour shift dollar need new job,2
1557,warm day chocolate melting,0
1558,burn pic,2
1559,wah,0
1560,hi everybody lunch break work enjoying nice cup coffee,0
1561,going work soon,2
1562,footy getting team twitter rid ridiculous character limit,3
1563,got home killing possum,2
1564,way crate sad going,1
1565,waiting consider news bad news,1
1566,home,1
1567,baby busted lip,1
1568,thats funny,1
1569,nervous getting house town,1
1570,love,0
1571,confident moment baby thats la la land demi,2
1572,,2
1573,saw,1
1574,nugget game,1
1575,leg kill yesterday big old leak kitchen look like day,1
1576,oki love come like time,0
1577,know awesome,0
1578,upset,1
1579,yep ah damn dont leave warm hot guess ill wo,2
1580,betty,2
1581,happy sunshine hope mother enjoy day,0
1582,hope,1
1583,vote day computer,2
1584,catching holiday expense week gift grub,2
1585,u garden bunny r decidedly thanks link,0
1586,hao da za pa miss food,2
1587,posh read tatler,1
1588,went cruise character strike werent,0
1589,book head write weekend maybe hi ho hi ho work,0
1590,summer filled course summer,2
1591,considered corner park beware sign clear,2
1592,saying papa,1
1593,twitter pretty damn cool,0
1594,day hope retire floating island,0
1595,time text saying n office dis havent dun,0
1596,dont like action plot like romance plot feel like setting feminist cause,2
1597,thanks fabric addict lately bought,1
1598,got helping cat neighbor,2
1599,woke late work student train,2
1600,yo u fault said u thought,0
1601,woke delightful nap cant success involved nap sat rhubarb,0
1602,thats want better bound bad egg soon learn,0
1603,better thanks,0
1604,happy mother day love,0
1605,right fake shouldnt mess real love real excite,0
1606,sorry havent holiday ill better,1
1607,wish wife happy mother day tell hope wonderful day spoil today,0
1608,white despite age sun,1
1609,happy,0
1610,leg,1
1611,dad mum heading way normally jump middle bit cat chasing dream,2
1612,sure,2
1613,whoa chasing character bring sweet superman,1
1614,know cant handle fame thank,0
1615,happy star war day week,1
1616,point left tommy prize,0
1617,hello thing going tell,1
1618,pretty good actually lame episode good try,0
1619,guessing belt thing didnt hear stop weekend talk bout ring,1
1620,week palm come temp phone contact arent,3
1621,wonderful day photo practicum wouldnt mind typical dutch cloud,2
1622,public talk got dont know,1
1623,going turn cant tweet phone stupid,2
1624,ah computer room right charge arent tired,1
1625,ill save celebration sent professor wrote page paper,0
1626,aw sound amazing think work thank inviting,1
1627,dad watching going,2
1628,love river family,0
1629,miss u havent ate,1
1630,seriously cant cause,3
1631,cant chat school,1
1632,supposed headache thats right,0
1633,outside bell wont stop ringing think child bike,2
1634,hey sorry late leave min,1
1635,god love hair,0
1636,yer good day,0
1637,cant sleep sore,1
1638,yeah right accepted grant covered school fee cant verify,2
1639,wont load damn,2
1640,check id appreciate bunch,2
1641,good,1
1642,yep going better,2
1643,guess soul searching time home talking,1
1644,yes song great got old funny cheerleader remix song day,0
1645,want borrow weekend,1
1646,,1
1647,cant gift money away day,1
1648,watching notebook,2
1649,ran turtle,1
1650,aw car thats sweet sorry hear hope find posh,0
1651,travesty,3
1652,case screwed cant love fern alive,1
1653,ugh rude,0
1654,hi barb new enjoy reading ur tweet u like wonderful know ur wonderful actress,0
1655,taking new york day leave,1
1656,going lately game took pill,1
1657,good day,2
1658,got tip night n bulk money,1
1659,good breakfast school whack,2
1660,hello thats important date,2
1661,sharpie running dangerously low ink,1
1662,feeling bad got bad news mum,1
1663,definitely nice peaceful way spend got tan,0
1664,installer end installation,1
1665,bathroom ahead feel sorry waiting attention,1
1666,grounded tonight hate stupid silent mode,3
1667,tried police blocked neighborhood theyre building,1
1668,pork scratching,2
1669,yeah yeah heck year bail lack expense,1
1670,feel better love bring u soul food u feel good,0
1671,school,3
1672,happy birthday u happy birthday u happy birthday u happy birthday u happy birthday u,0
1673,car broken probably good,1
1674,brake time lunch tonite,2
1675,moving away,1
1676,free unlimited awesome,0
1677,cant ur following,3
1678,good morning,0
1679,cant hide icon change,2
1680,sound yummy share,2
1681,thing time,1
1682,awesome think hate expensive phone,0
1683,en tea apple delicious look like need buy,1
1684,forgot happy day,0
1685,hubby snoring love,0
1686,wish going oh wish girl good luck going good,1
1687,thank id share sundae late shouldnt tell people,2
1688,sitting,1
1689,buy disposable time,2
1690,girl night,2
1691,yeah,2
1692,oh understand maybe little bit want year,0
1693,dang mother day twitter world start shooting,2
1694,getting getting cold asthma paying,1
1695,heart,0
1696,hate sweetie bad day,1
1697,dont feel bad got promotion,1
1698,going staring hello kitty face,2
1699,stupid twitter faceless,1
1700,beginning new week guess office day till,2
1701,cant believe gig poster little civic taken,0
1702,need bank,0
1703,tourney til weekend,2
1704,watching kill bill vol love movie,1
1705,,0
1706,going montana huh,2
1707,happy mother day hope wonderful day,0
1708,upcoming sadly surprisingly bummed tradition,0
1709,,2
1710,need learn line director going kick butt,1
1711,thanks,2
1712,pretty sure miss watching niece,0
1713,hey gio beautiful love answer,0
1714,sadly good montana wizard place,1
1715,throat hurt,1
1716,thank payment dollar wasnt strong,1
1717,oh fack u gave police thats,1
1718,w special friend,0
1719,work,0
1720,maybe cause rain,1
1721,slept hour headache,0
1722,chili cheese fry bad idea lunch,2
1723,yawn think bed night guy,2
1724,oh dear selected worst bit highlight soprano guy,0
1725,happy hope awesome day didnt night,2
1726,free,1
1727,order pizza pizza girl sing love new song excited new song paranoid day,0
1728,fine way r ur dog want pit,0
1729,good god fit swear word character,0
1730,night drink yeah right,0
1731,,0
1732,love latest journal finally twitter came hi,0
1733,gone,2
1734,change profile picture,2
1735,wish going saga,1
1736,poor beta took riding lap plane happy week long,1
1737,bed early,2
1738,wont break till custody issue settled month,1
1739,yep person,2
1740,work,2
1741,finally got marriage day late,1
1742,think thats cutting pic doesnt turn,2
1743,upgrade hell bank holiday,2
1744,happy mother day,0
1745,pillow end suffocating sleeping,2
1746,eating ice cream cake bomb,0
1747,rip,1
1748,sad best friend selfish heartless exclude life sad,1
1749,work,2
1750,,0
1751,happy mother day god bless mother mother nature technology emotion motion,0
1752,sure tell watermelon leave car week good,2
1753,saw flood area news careful,1
1754,hug,0
1755,stuck home grr,2
1756,great day work disappointment roof decal,1
1757,long,2
1758,informative prof digestion doesnt place throat guess,0
1759,happy mother day,0
1760,school arrange design friend think look good,0
1761,san good time w dad edit holy land brochure wish,2
1762,going maybe,2
1763,sending tweet,3
1764,ugh infamous lame p,3
1765,thanks find way found little switch job nicely,1
1766,comforting know people working beautiful day skin cancer want office,1
1767,cant wait,0
1768,heading home banging head way bus,1
1769,sure come comment,2
1770,sorry code posted site,1
1771,people stopped following said,1
1772,different meaning work,3
1773,,2
1774,hate snood dont know people play,3
1775,tonight bad night,1
1776,wasnt nice,1
1777,time start,2
1778,nicely weekend guest lot,0
1779,checked got went live minute fine,0
1780,rule expect people human pic good morning welcome,1
1781,doesnt bad pic colossal loveliness wondering spelt colossal right,0
1782,feel cousin monkey,2
1783,,0
1784,washer se ha ha grandma early,0
1785,home drink,0
1786,little slow try ben jerry mission marzipan bit letdown,1
1787,bad day office horrendous mood national act like idiotic buffoon day today tell,1
1788,like remind people scene current issue like,2
1789,lover tattoo got design shirt lost shirt,1
1790,homey da bus,1
1791,hold work tomorrow,0
1792,hurt,1
1793,time weve stood special time,0
1794,getting sortie tomorrow like stress,0
1795,long think weekend open going house warming party,0
1796,wow seen bloody awesome think year bad x,0
1797,great kicking june,1
1798,pine,1
1799,spent hour looking topic ended,2
1800,welcome love cute stuff,0
1801,challenge talking follower,2
1802,special edition came today time rip work,0
1803,fed stupid bot,3
1804,inspired inspirational,2
1805,workman extending r block cant start early surely theyre making racket,2
1806,lighter fire match grass,2
1807,chilly n n,1
1808,episode season love chuck bass going short stack sat making flag,0
1809,oh god adorable inspiration nick,0
1810,need reel start job rock climbing hope,1
1811,know miss josh week need surgery work suck good day oh tum tum hurt,1
1812,day,1
1813,tomorrow,2
1814,looking old picture love miss good day,0
1815,arthritis poor painful cant old squat u,1
1816,didnt,0
1817,working station cool love yer music sweating la,0
1818,making mother day card,0
1819,hey u miss u follow,1
1820,good time,0
1821,matter heart complicated,1
1822,sweet loving bracelet,0
1823,cant,1
1824,hot today today day cant believe,0
1825,,0
1826,oh like rabid racoon adrenaline going morning better cup coffee,0
1827,hate love schedule hello reel,3
1828,yeah yesterday found house want sold bank car accident,2
1829,think love life,0
1830,singing rain,0
1831,went limit action hour twitter client hate limit,3
1832,,1
1833,enjoying eating rose chocolate x,0
1834,exhausted tee knocking night bird,0
1835,welcome win sure like new issue feel free ask,2
1836,maybe someday publicist thats going school,0
1837,ugh play know going fail final need study,1
1838,good luck sweet,1
1839,spent dream cooking delicious meal woke got try,0
1840,love secret,0
1841,link ill talking movie x,2
1842,forgot dance recital tonight stuck talking night instead bonfire,2
1843,rest let mystery jet pretty cool maria listen,0
1844,currently enjoying work bank holiday frasier kyle far enjoy extra day tweeter,0
1845,week going good going lot stuff,1
1846,thanks thought didnt work like hoped ah painting beautiful,0
1847,watching movie sam,2
1848,,2
1849,find weird think u gave recommendation sorted vote pot u want,0
1850,target near day low,2
1851,k category moment,2
1852,think hate,0
1853,super excited,0
1854,cant notice,1
1855,plan evening dinner shopping dress shirt watching going bed plan funeral friend,1
1856,talk,2
1857,happy present,0
1858,hope soon know hate fake,1
1859,trying morning sadly,1
1860,whoo art work time college,1
1861,went athletics carnival today tired tired hurt second time high jump,1
1862,happy mother day mum,0
1863,brain tumor,0
1864,getting self nice cup tea turn music,0
1865,son god little girl,0
1866,cant wait michigan summer guy great look track jacket,0
1867,reality check day,0
1868,slipped caught flu feeling like poop,2
1869,shopping dont want surf net,0
1870,sleep coming easy sleeping pill need maybe mind wild lately proven fact,1
1871,apparently sorry,1
1872,good day,2
1873,ouch,2
1874,year know,0
1875,found decently priced breakfast hope,2
1876,wow difficult,0
1877,sad id love talk live cant wait new album hi,1
1878,ey boy cant video private want,3
1879,record player decided die night sad e,3
1880,going actually read sign fair,1
1881,underpaid didnt need,1
1882,class student miss,2
1883,oh look boring boring exam,2
1884,vote cant find vote,1
1885,didnt close pretty sure ill cry school year cry,1
1886,oh placebo torus sale hot cake distribution,2
1887,good morning,0
1888,thank feel relaxed scary beginning,0
1889,cant judge book looking cover,1
1890,feeling good win nice softball champ bring season,0
1891,lovely profile neat love ticker,0
1892,dang went,2
1893,got talent,1
1894,got lunch time,2
1895,didnt fail sad,1
1896,baby work drink da song,1
1897,afraid yes true hope u r disappointed,2
1898,pain killer thanks jess agreeing,1
1899,chang lunch,1
1900,topic twitter useful theyre like middle passing note cause class boring,1
1901,thanks reminder old hag,2
1902,sitting car cat feel bad,1
1903,friend,2
1904,listening butterfly fly away daddy u mamma ya,0
1905,think start throw glitter aha,0
1906,sleep spending day mother day,0
1907,woke sun rain,0
1908,going jack,2
1909,worst stuffy nose spending night took,1
1910,exam weve bit revision tonight work tomorrow,2
1911,hope away week counting,2
1912,mail came infamous,1
1913,welcome thanks picture morning better,0
1914,dont good funeral cry way contagious,1
1915,got heart love guy,0
1916,wish came true u,0
1917,watch movie,3
1918,sure wicked ticket thats awesome going,0
1919,weekend minute week learning page speaking,2
1920,golden girl marathon end,2
1921,whoop tweet,0
1922,damn day office sun woman eh keyboard,3
1923,,2
1924,going want pick,0
1925,good luck character bring win movie,1
1926,church hallelujah,0
1927,love scandalous,2
1928,sorry bout cat,2
1929,want music profile dont money dont know write music dont know play instrument studio,1
1930,er pricked finger blood sugar trying cry,0
1931,thing amazing song oar,0
1932,good end busy day bed belly,0
1933,u tell p p,0
1934,headache sad cupcake,1
1935,oh dear moro abroad lucky coming home moro poor listen talk day,0
1936,life short know wish everybody outlive,1
1937,course traffic,0
1938,excited half hour thats start,0
1939,think,1
1940,n check check hot,0
1941,getting ready work,2
1942,nice seeing partner drama queen partner,0
1943,going happen ill pray rose shower sh,0
1944,think person thats star,2
1945,thanks try day look yummy trip,0
1946,miss find random form communication slows home miss,1
1947,thinking,2
1948,time good phone catch love miss,0
1949,stupid star war day th,0
1950,june th sat,2
1951,switch cant sleep buzz,1
1952,cant dont waer time,1
1953,hair,2
1954,exam left got talent,2
1955,ugh hate life sigh stupid economy stupid bush,1
1956,totally chilled day garden lovely weather shame work tomorrow,1
1957,,2
1958,finally got set key store celebrate,0
1959,cant sleep morning come soon rest new day perfect day start new change,1
1960,cloudy day typical spring day,0
1961,pizza age feel bit sick teach,1
1962,tired,2
1963,know,2
1964,loving tutorial video real helpful,0
1965,lucky girl tell kay,1
1966,wasnt absolute positioned web killer,2
1967,concert good old friend remember old time,0
1968,min cycling mile beat time second lower body weight ready work,2
1969,hate serve lobster chow hall headache ugh,3
1970,leg havent old injury run kick ball fell sharp pain,1
1971,boo cant guard training,2
1972,ah opinion,0
1973,bad cant come enjoy tho,1
1974,expansion ugh joy,1
1975,morning,0
1976,working weekend,0
1977,blonde feel girly,0
1978,perky purple nail polish perky chipped,2
1979,way road wet,1
1980,scratching head,1
1981,grand n sister,2
1982,tired,0
1983,think plan ruined excited,0
1984,nice bummed cant try near future,0
1985,far gone better help raised dog feel thing right,0
1986,play game apple apple wish luck,0
1987,launch break alpha phase residential real estate rental commitment grade,1
1988,watching live chat live,0
1989,going send photo cant following,2
1990,happy mother day lady love u,0
1991,oh ta hope u,2
1992,rap mix stuff getting ready leave,1
1993,feeling,1
1994,minute want strangle car salesman presentation related guy,3
1995,think wonderful,0
1996,cant sleep tired maybe,1
1997,want u know dont like u u know,1
1998,boo cant sleep saying hi random people,0
1999,maybe break tradition instead order version,2
2000,,2
2001,waiting loading annoying,3
2002,talking site,0
2003,love ride superman right,0
2004,whats dirty letter absolutely business feel left,1
2005,hell yeah block away sweet,1
2006,gas plus money desperation thats word day,3
2007,agree like blackberry,0
2008,,0
2009,afternoon office cubicle system te surviving system,0
2010,let change te em topic girl told,2
2011,guilt trip feeling sick pressure stress drama,1
2012,rain,2
2013,mood work guess,1
2014,work computer home,1
2015,cant tell nosebleed time age doesnt cover,0
2016,seriously screwed havent studied,1
2017,popcorn fruitcake chocolate,1
2018,awake early liking looking picture night bloody awesome word,0
2019,right pull chair welcome,2
2020,right like minute,1
2021,said reply like,0
2022,think,0
2023,bakery,0
2024,working,2
2025,mind soul reality,0
2026,leave jersey,2
2027,thanks confirmed long suspected twitter keeping way late,2
2028,glad wasnt real diver theory test got question right min left x,0
2029,morning afternoon fresh fun,2
2030,weird,1
2031,beach walking cold water work morning,3
2032,depressed wasnt included garden quiz,1
2033,know,2
2034,want chocolate,1
2035,oh sign error page,0
2036,cant believe leaving place tomorrow,1
2037,sing store wont work,1
2038,thinking swine market decline cant,0
2039,thinking day thing work dont want,1
2040,nice good night,0
2041,thought text later week catch open link sent,2
2042,hope day better,1
2043,ruling wouldnt found mention truly politician integrity,2
2044,mother day,1
2045,neighborhood little like runner got st place time happy,0
2046,good shower fix hair going,2
2047,think ill enjoy sun ray love work,0
2048,dont vacation let,1
2049,flu flu,1
2050,ad week visa work,2
2051,waiting turn fit gym closed,0
2052,potter category love,0
2053,listening heart aint brain brown,2
2054,feeling sick day today,1
2055,writing essay college writing boring,2
2056,nice,0
2057,watching computer fun norm fun,0
2058,hate alarm doesnt,3
2059,sad wont b able kim sample sale,1
2060,rain oh,0
2061,scare,1
2062,know embarrassing life,1
2063,want awake,2
2064,art history quiz didnt study,1
2065,thats sweet,0
2066,yeah guess password able login,1
2067,continue episode come,2
2068,wow thought wed gaming hour hour later seeing person long session fun,0
2069,wardrobe handle drew blood,2
2070,,0
2071,u mean jack wow u gone house mean ur lucky address,0
2072,status update twitter ice sun cest,2
2073,getting excited,0
2074,eating listening,2
2075,dont need server know program use love knowledge limited right,2
2076,sorry new comedy style,1
2077,whew relief,0
2078,hello,0
2079,got late didnt close today close meet buyer tonight home,1
2080,mind trick way mind heavy sleepy,1
2081,wont dance,2
2082,st mean concert wont know song oh demi,0
2083,need,1
2084,melted maybe square inch skin ran cold water min iced ice melted hurt,1
2085,sexy blonde rubbing field,0
2086,,2
2087,officially school til fall,0
2088,headache dumb,1
2089,reply win thanks,2
2090,highly amused wasnt nicely like fault life better,0
2091,god bless,0
2092,sleep need mum time bed,1
2093,hell music library bipolar,1
2094,pondering day trip n school bell ponder ponder work sun tho,0
2095,hello,2
2096,love dawn love music,0
2097,cool wonder didnt sleep,0
2098,find knowing,2
2099,lunch tho right world,0
2100,got,2
2101,want morning summer officially begin thank,0
2102,aw sad leave come,1
2103,home night pub,2
2104,dye hair nail,0
2105,excellent good,0
2106,son bitch release bought,3
2107,sure long said theyre glad like,0
2108,new phrase doubt mo game win streak,0
2109,cant stop game like crack bad dream gun sleep,0
2110,boy like girl kingdom date,1
2111,yes jealous dont money,2
2112,house fishy,0
2113,spent day trampoline tired use cool,0
2114,water prob cold heck,1
2115,,2
2116,getting ready,2
2117,ate foot long subway like hour ago happy ate happy li,0
2118,wish boston,0
2119,following dont think seen,1
2120,hey guy saw st play met outside u nice,0
2121,happy mother day,0
2122,sad wife sick,1
2123,yes thats meant dont turn,1
2124,jealous,1
2125,hey maria sorry think accidentally disconnected thank trying headed site soon,1
2126,got look job weekend,2
2127,following cause ordered,1
2128,need right,1
2129,room oven,1
2130,going win cup need know bet,2
2131,happy mother day mommy,2
2132,reading reading enjoying ride enlightened inspired letter young sister hill,0
2133,know clean clothes washer kitchen damn,1
2134,come sex lie silicone se east coast tune tonight,0
2135,doesnt know password,2
2136,thats awesome good job,0
2137,went,0
2138,going night sleep tonight arm better fun forced use left hand,1
2139,hi teach lesson feel free look,2
2140,didnt nest time sure maybe ill come la soon,0
2141,today going good day way work spending time,0
2142,franco breakfast trying cut strawberry safe knife,2
2143,said look,1
2144,burnt nice day tho,0
2145,sure ill chat sec thread,0
2146,,2
2147,bout,2
2148,think physical change,2
2149,got home work ready chill time shoot aim,0
2150,thought family,2
2151,read story entire world love,0
2152,twittering,2
2153,dont think coffee work agreed tummy,1
2154,video blackberry,2
2155,thanks cheer,0
2156,hey u soon maybe tomorrow,2
2157,dad wellington live welly pray f,0
2158,ready depressing upsetting dreadful weekend,1
2159,slept afternoon evening getting feel bright button probably bad,1
2160,forgive,1
2161,boring favorite,2
2162,disc doesnt work,1
2163,happy mother day,0
2164,til freezing,3
2165,maybe mistake cool brown nose moment,1
2166,happy mother day,1
2167,finished watching episode ruby lot cool tip great need practice master,2
2168,yes wore weekend planting garden working,0
2169,good cook creative silly sierra,0
2170,bad yo dint cast late time like,2
2171,shoot lot fun,0
2172,oil filthy accomplished filthy,3
2173,want home dont like stay work,2
2174,going rain birthday,1
2175,cutie,0
2176,hearing surprising news si tell story,1
2177,voice hear inside head reason singing find need find,0
2178,weird cause morning got new episode,0
2179,pretty good theyre making chicken,1
2180,hilarious man headache meeting,1
2181,didnt gym today feel bad,1
2182,forgot answer kindle question yesterday honestly havent paperback book want read,0
2183,u sent ur miss,1
2184,saw nome twitter waking,1
2185,trip school west end load stuff great,0
2186,,1
2187,yes love song,0
2188,come apart easy,0
2189,yea bash lame want sit house instead wit,0
2190,sorry wrongly usually wont read ill press enter button,1
2191,living,2
2192,thought id check home minute ago update home cant,0
2193,sigh candy,1
2194,summer cricket season start actually yeah sparkly wing,0
2195,wow thats good cant believe mother day,0
2196,jealous family amazing breakfast rice,1
2197,hell yeah,0
2198,yeah definitely pillow fight,2
2199,outside daddy ride new triumph,1
2200,blow torch broken real bummer,1
2201,said ill think try,2
2202,crawling,2
2203,,2
2204,know,0
2205,freezing,2
2206,happy sigh flower sent phew sure thing,0
2207,time,0
2208,gift honesty box message abuse dal na,3
2209,agree married yr th blah,2
2210,guy follow,0
2211,office drive nut especially,3
2212,happy mother day people love lot,0
2213,saw thumb tennis,2
2214,starting bash blue moon photo,0
2215,oh right load love x,0
2216,word,0
2217,meeting work,0
2218,storm power going suck,3
2219,,2
2220,night night ruined doctor inability warn effect test,0
2221,covering slow today lonely,1
2222,wish thing,0
2223,sad friend everyday long time,1
2224,band practice,2
2225,day find ended trying cart cant remember sigh,1
2226,know june good going se come,0
2227,power went rarely saved game,1
2228,got tired dealing dilemma,3
2229,yeah ill probably stop story completely finished wont wide awake,2
2230,,2
2231,dinner jelly bean dessert good night,0
2232,sorry moment,1
2233,snob ratio,1
2234,rite spear time,0
2235,sad day told student year lot cry,1
2236,new picture working,1
2237,oh think thing,2
2238,school learn use,1
2239,salt pig thing coz broke guy wat salt pig,0
2240,heart heart open talk,2
2241,shame watched clip u posted,1
2242,time sleep night happy mother day,0
2243,win,0
2244,bus stop,0
2245,shoe listening varsity surprise surprise sway sway baby awesome,0
2246,worth love free version,1
2247,woke late didnt breakfast,2
2248,going kill person went dont want police door,0
2249,oh yea wont b maybe time,1
2250,bring till fall asleep,2
2251,shut fool fact,3
2252,try couple hour sleep love going bed later twitter,0
2253,laugh,0
2254,computer slow especially,1
2255,cell phone better camera picture real bad quality took,1
2256,love ride doesnt bad wasnt recording,1
2257,trying tag picture tag,2
2258,fairly recent win past year plot good v pretty term art,2
2259,ape,2
2260,know category trying remove cant,2
2261,new section la oh man,0
2262,want free weekend month booking client need money,1
2263,let know hah,0
2264,mean babe super cool ha,0
2265,agree,0
2266,getting ready tour,0
2267,eating truffle,0
2268,final,0
2269,dead father velvet painting said said threaten old,2
2270,right bad,0
2271,know available na eh sa,0
2272,southland,1
2273,rainy,3
2274,powerful spell kind tip scale favor,1
2275,morning appear bit sore head bag pork scratching dinner wasnt good idea,1
2276,want blackberry wack night,0
2277,look yummy good seeing u,0
2278,bye bye beard,2
2279,yeah son friendly place baby,0
2280,cool help happen sure great k thanks,0
2281,huge difference temperature time huh love,0
2282,dont want send kind private,1
2283,,3
2284,thats right,2
2285,cant believe lucky amazing,0
2286,dont look home,1
2287,happy mother day everybody,0
2288,welcome deserve day,0
2289,think time shower ready hope shopping mason today want new clothes,1
2290,shutting,2
2291,c nice wouldnt fun,0
2292,thinking spiritual alcoholic way word,1
2293,watching movie dad talking life,2
2294,u arent going,2
2295,final study fail,1
2296,detect long,0
2297,read article happy stuck try rid,0
2298,waiting come,2
2299,cant find good version monkey song doesnt send message thing twitter,1
2300,hope stole purse money coming,3
2301,woke late trying work,1
2302,,2
